Lp;Numer;P³eæ;Rocznik;Kat wiekowa;Czas
No.;Bib;Sex;YoB;Age Group;Time
556;4120;M / 277;1968;M4 / 73;01:18:18
557;490;M / 58;1961;M5 / 4;01:03:42
558;867;K / 3;2002;K0 / 2;01:08:08
559;860;M / 162;1976;M4 / 34;01:12:00
560;868;K / 5;2002;K0 / 3;01:08:45
561;2743;M / 469;1980;M3 / 166;01:42:15
562;2895;M / 494;1975;M4 / 132;02:06:13
563;3216;M / 322;1987;M2 / 41;01:21:07
564;1309;K / 30;1971;K4 / 4;01:21:36
565;2882;M / 254;1981;M3 / 90;01:17:03
566;1897;M / 85;1987;M2 / 18;01:06:00
567;816;M / 16;1993;M2 / 3;00:58:53
568;3542;M / 262;1983;M3 / 92;01:17:33
569;1500;M / 93;1989;M2 / 20;01:06:35
570;862;M / 280;1971;M4 / 74;01:18:31
571;1906;M / 136;1979;M3 / 45;01:10:04
572;2109;K / 81;1988;K2 / 21;01:52:00
573;406;M / 45;2001;M0 / 6;01:02:46
574;1971;M / 61;1971;M4 / 11;01:04:03
575;1693;M / 3;2001;M0 / 2;00:56:06
576;3570;M / 478;1999;M1 / 14;01:44:41
577;480;M / 51;1977;M3 / 15;01:03:17
578;755;M / 407;1967;M4 / 105;01:27:31
579;2757;K / 67;1978;K3 / 20;01:39:25
580;3539;M / 376;1983;M3 / 137;01:24:53
581;2805;M / 405;2003;MM / 23;01:27:21
582;212;M / 320;1982;M3 / 115;01:21:02
583;666;K / 17;1978;K3 / 5;01:15:58
584;3472;M / 341;1994;M2 / 44;01:22:10
585;2237;M / 18;2000;M1 / 4;00:59:10
586;2744;M / 237;1980;M3 / 81;01:16:31
587;671;M / 131;1971;M4 / 27;01:09:10
588;3566;M / 446;1987;M2 / 52;01:34:54
589;3199;M / 414;1988;M2 / 49;01:28:04
590;824;M / 214;2004;MM / 9;01:15:02
591;638;M / 218;1971;M4 / 53;01:15:07
592;1912;M / 365;1977;M3 / 129;01:24:18
593;3405;M / 415;2005;MM / 24;01:28:08
594;1823;M / 39;2002;M0 / 5;01:02:31
595;3208;K / 42;2001;K0 / 8;01:26:28
596;863;M / 400;1948;M6 / 17;01:27:03
597;3227;M / 70;1972;M4 / 12;01:05:01
598;3578;K / 83;1998;K2 / 22;01:57:19
