Lp;Numer;P³eæ;Rocznik;Kat wiekowa;Czas
No.;Bib;Sex;YoB;Age Group;Time
168;3513;M / 2;2001;M0 / 1;00:55:57
169;3085;M / 137;1986;M3 / 46;01:10:12
170;634;M / 235;1982;M3 / 79;01:16:20
171;3467;M / 444;1981;M3 / 161;01:33:35
172;2916;M / 71;1996;M2 / 15;01:05:06
173;1220;M / 413;2002;M0 / 22;01:28:04
174;4070;M / 501;2007;MM / 35;02:24:42
175;523;M / 234;1957;M5 / 14;01:16:19
176;543;K / 19;1989;K2 / 8;01:16:16
177;2621;M / 83;1987;M2 / 17;01:05:56
178;3471;M / 183;1989;M2 / 32;01:13:25
179;3385;M / 342;1980;M3 / 121;01:22:15
180;2794;M / 179;1984;M3 / 63;01:13:10
181;2868;M / 84;1975;M4 / 17;01:05:57
182;202;M / 134;1968;M4 / 28;01:09:43
183;349;K / 26;1988;K2 / 11;01:20:35
184;3186;M / 377;1963;M5 / 30;01:24:54
185;475;M / 156;1987;M2 / 30;01:11:22
186;2885;M / 227;1983;M3 / 78;01:15:43
187;4071;M / 502;2006;MM / 36;02:31:22
188;2988;M / 141;1984;M3 / 49;01:10:25
189;3583;M / 351;1987;M2 / 46;01:22:53
190;3099;M / 188;1985;M3 / 66;01:13:33
191;3196;M / 306;1984;M3 / 110;01:20:00
192;2784;M / 364;1983;M3 / 128;01:24:18
193;438;M / 470;1974;M4 / 125;01:42:39
194;215;M / 38;1985;M3 / 13;01:02:26
195;2741;M / 374;1973;M4 / 97;01:24:50
196;178;M / 69;1999;M1 / 8;01:04:44
197;1501;M / 303;1966;M5 / 18;01:19:42
198;609;K / 46;1969;K4 / 7;01:27:13
199;448;M / 396;1953;M6 / 16;01:26:49
200;1039;M / 416;1943;M6 / 18;01:29:17
201;1039;M / 416;1943;M6 / 18;01:29:17
202;607;K / 79;1968;K4 / 14;01:48:28
203;3412;M / 335;1982;M3 / 119;01:21:39
204;2791;K / 39;1973;K4 / 5;01:25:19
205;2789;M / 198;2001;M0 / 17;01:14:13
206;2790;M / 282;1973;M4 / 75;01:18:40
207;1886;M / 211;1973;M4 / 49;01:14:48
208;855;M / 180;1967;M4 / 42;01:13:12
209;1200;M / 160;1951;M6 / 4;01:11:38
210;3180;M / 165;1982;M3 / 58;01:12:16
211;930;M / 312;1976;M4 / 83;01:20:22
212;1038;M / 464;1980;M3 / 165;01:39:11
213;3521;M / 314;1975;M4 / 84;01:20:30
214;3214;M / 426;1980;M3 / 155;01:31:00
215;728;K / 75;1984;K3 / 23;01:44:39
216;2059;M / 169;1984;M3 / 59;01:12:35
217;2917;M / 318;1959;M5 / 20;01:20:48
218;100;M / 161;1969;M4 / 33;01:11:58
219;640;M / 25;1983;M3 / 9;00:59:56
220;3458;M / 328;1959;M5 / 22;01:21:21
221;2254;M / 337;1981;M3 / 120;01:21:58
222;3447;M / 23;2001;M0 / 4;00:59:42
223;2039;M / 148;1971;M4 / 29;01:10:44
224;842;M / 163;1981;M3 / 56;01:12:05
225;1089;M / 186;1969;M4 / 45;01:13:32
226;1090;M / 187;2003;MM / 6;01:13:32
227;1776;M / 408;1985;M3 / 149;01:27:36
228;923;M / 112;1981;M3 / 37;01:07:55
229;3106;M / 7;2000;M1 / 2;00:57:35
230;1324;M / 171;1987;M2 / 31;01:12:45
231;3254;M / 99;1978;M3 / 30;01:07:22
232;947;M / 269;1979;M3 / 95;01:17:50
233;336;K / 82;1972;K4 / 16;01:54:43
234;1857;K / 16;2001;K0 / 5;01:15:44
235;646;M / 81;1982;M3 / 24;01:05:51
236;3291;M / 301;1981;M3 / 109;01:19:38
237;165;M / 191;1965;M5 / 10;01:13:52
238;358;M / 204;1956;M6 / 5;01:14:27
239;4048;M / 140;1988;M2 / 25;01:10:22
240;3582;M / 437;1981;M3 / 158;01:33:04
241;3215;M / 55;1986;M3 / 16;01:03:34
242;144;K / 66;1959;K5 / 4;01:38:28
243;3529;K / 69;1981;K3 / 21;01:41:19
244;119;M / 258;1954;M6 / 7;01:17:24
245;2178;K / 84;1976;K4 / 17;01:59:07
246;2279;M / 325;1962;M5 / 21;01:21:13
247;3386;M / 48;2000;M1 / 7;01:03:08
248;1144;M / 471;1966;M5 / 37;01:42:46
249;1968;M / 190;1968;M4 / 46;01:13:44
250;297;K / 74;1972;K4 / 12;01:44:23
251;1809;M / 496;1979;M3 / 174;02:10:35
252;2002;M / 123;1966;M5 / 7;01:08:29
253;3276;M / 380;1977;M3 / 140;01:25:13
254;1191;M / 336;2004;MM / 18;01:21:41
255;1988;M / 68;1988;M2 / 14;01:04:40
256;2197;M / 411;1969;M4 / 107;01:27:47
257;1672;M / 308;1962;M5 / 19;01:20:04
258;398;M / 406;1959;M5 / 33;01:27:25
259;58;M / 267;1955;M6 / 8;01:17:50
260;903;M / 423;1979;M3 / 153;01:30:29
261;856;M / 40;1966;M5 / 3;01:02:32
262;395;M / 54;1990;M2 / 12;01:03:33
263;3585;M / 349;1961;M5 / 25;01:22:47
264;1558;M / 324;1979;M3 / 116;01:21:11
265;53;M / 124;1989;M2 / 24;01:08:42
266;72;M / 230;1972;M4 / 58;01:15:58
267;1226;M / 17;1969;M4 / 1;00:58:54
268;3294;M / 385;1986;M3 / 142;01:25:50
269;1781;M / 133;1956;M6 / 2;01:09:19
270;2815;K / 11;1983;K3 / 2;01:13:35
271;3206;M / 452;1980;M3 / 162;01:35:52
272;1654;M / 139;1984;M3 / 48;01:10:16
273;3234;M / 390;1970;M4 / 101;01:26:21
274;905;M / 143;1982;M3 / 51;01:10:29
275;2760;M / 172;1967;M4 / 38;01:12:46
276;3300;M / 441;1973;M4 / 118;01:33:24
277;3173;M / 151;1991;M2 / 28;01:10:51
278;3334;M / 270;1984;M3 / 96;01:17:55
279;1254;K / 24;2002;K0 / 6;01:19:08
280;101;K / 8;1982;K3 / 1;01:11:39
281;1151;K / 61;1981;K3 / 16;01:35:35
282;1150;M / 260;1972;M4 / 68;01:17:24
283;3375;K / 10;1993;K2 / 6;01:13:01
284;1962;M / 479;1962;M5 / 39;01:45:46
285;306;K / 63;1997;K2 / 17;01:36:48
286;797;M / 82;1972;M4 / 16;01:05:52
287;1469;M / 348;1983;M3 / 124;01:22:40
288;3479;M / 360;1974;M4 / 93;01:24:03
289;3478;M / 122;2002;M0 / 13;01:08:29
290;3282;K / 68;1990;K2 / 18;01:39:37
291;184;M / 319;1969;M4 / 86;01:20:53
292;329;M / 272;1984;M3 / 97;01:18:12
293;4073;M / 245;1980;M3 / 86;01:16:47
294;3032;M / 110;1989;M2 / 22;01:07:51
295;3483;M / 119;1967;M4 / 24;01:08:21
296;1571;K / 58;1986;K3 / 15;01:32:38
297;2750;M / 88;1981;M3 / 25;01:06:10
298;696;M / 428;1962;M5 / 34;01:31:21
299;3569;M / 388;1983;M3 / 143;01:26:07
300;496;M / 222;1970;M4 / 54;01:15:18
301;2821;M / 199;1999;M1 / 12;01:14:16
302;1518;M / 101;1971;M4 / 21;01:07:30
303;3285;M / 371;1977;M3 / 133;01:24:42
304;3006;M / 401;1976;M4 / 103;01:27:08
305;1884;M / 300;1977;M3 / 108;01:19:32
306;1290;M / 44;2000;M1 / 6;01:02:42
307;2307;M / 425;1983;M3 / 154;01:30:59
308;3565;M / 239;1969;M4 / 61;01:16:36
309;2832;K / 38;1999;K1 / 2;01:25:18
310;360;M / 102;1977;M3 / 32;01:07:32
311;1606;M / 421;1976;M4 / 111;01:29:54
312;2995;M / 144;1977;M3 / 52;01:10:29
313;3572;M / 297;1979;M3 / 107;01:19:23
314;1411;M / 448;1956;M6 / 20;01:35:02
